,ID,text,select_text,sentiment,mood
0,1,i didnt feel humiliated,didnt feel humiliated,negative,"sadness
"
1,2,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,feeling hopeless damned hopeful around someone care awake,negative,"sadness
"
2,3,im grabbing a minute to post i feel greedy wrong,grabbing minute post feel greedy wrong,negative,"anger
"
3,4,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,ever feeling nostalgic fireplace know still property,positive,"love
"
4,5,i am feeling grouchy,feeling grouchy,negative,"anger
"
5,6,ive been feeling a little burdened lately wasnt sure why that was,ive feeling little burdened lately wasnt sure,negative,"sadness
"
6,7,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,positive,"surprise
"
7,8,i feel as confused about life as a teenager or as jaded as a year old man,feel confused life teenager jaded year old man,negative,"fear
"
8,9,i have been with petronas for years i feel that petronas has performed well and made a huge profit,petronas year feel petronas performed well made huge profit,positive,"joy
"
9,10,i feel romantic too,feel romantic,positive,"love
"
10,11,i feel like i have to make the suffering i m seeing mean something,feel like make suffering seeing mean something,negative,"sadness
"
11,12,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,feel running divine experience expect type spiritual encounter,positive,"joy
"
12,13,i think it s the easiest time of year to feel dissatisfied,think easiest time year feel dissatisfied,negative,"anger
"
13,14,i feel low energy i m just thirsty,feel low energy thirsty,negative,"sadness
"
14,15,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,positive,"joy
"
15,16,i do not feel reassured anxiety is on each side,feel reassured anxiety side,positive,"joy
"
16,17,i didnt really feel that embarrassed,didnt really feel embarrassed,negative,"sadness
"
17,18,i feel pretty pathetic most of the time,feel pretty pathetic time,negative,"sadness
"
18,19,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,started feeling sentimental doll child began collection vintage barbie doll sixty,negative,"sadness
"
19,20,i now feel compromised and skeptical of the value of every unit of work i put in,feel compromised skeptical value every unit work put,negative,"fear
"
20,21,i feel irritated and rejected without anyone doing anything or saying anything,feel irritated rejected without anyone anything saying anything,negative,"anger
"
21,22,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,negative,"fear
"
22,23,i have the feeling she was amused and delighted,feeling amused delighted,positive,"joy
"
23,24,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,able help chai lifeline support encouragement great feeling glad able help,positive,"joy
"
24,25,i already feel like i fucked up though because i dont usually eat at all in the morning,already feel like fucked though dont usually eat morning,negative,"anger
"
25,26,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,still love wish best longer tolerate effect life fact turned bitter angry person always particularly kind people around feeling stressed,negative,"sadness
"
26,27,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,feel inhibited someone kitchen like painting someone picture,negative,"sadness
"
27,28,i become overwhelmed and feel defeated,become overwhelmed feel defeated,negative,"sadness
"
28,29,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,feel kinda appalled feel like need explain wide lenghth body measure etc,negative,"anger
"
29,30,i feel more superior dead chicken or grieving child,feel superior dead chicken grieving child,positive,"joy
"
30,31,i get giddy over feeling elegant in a perfectly fitted pencil skirt,get giddy feeling elegant perfectly fitted pencil skirt,positive,"joy
"
31,32,i remember feeling acutely distressed for a few days,remember feeling acutely distressed day,negative,"fear
"
32,33,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,seen heard read past couple day left feeling impressed company,positive,"surprise
"
33,34,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,climbed hill feeling frustrated pretty much paced entirely wrong course factor never ever hampered made dent day,negative,"anger
"
34,35,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,positive,"joy
"
35,36,i am not sure what would make me feel content if anything,sure would make feel content anything,positive,"joy
"
36,37,i have been feeling the need to be creative,feeling need creative,positive,"joy
"
37,38,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,however want know something someone causing feel splendid self step away,positive,"joy
"
38,39,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,negative,"anger
"
39,40,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,need need someone need protected feel safe small find season word,positive,"joy
"
